PEILDATUM_LEERLINGEN;PRIKDATUM_SCORES;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEERJAAR_8;ONTHEFFING_REDEN_ND;CET_AANTAL;CET_GEM;IEP_AANTAL;IEP_GEM;ROUTE8_AANTAL;ROUTE8_GEM
20160415;20160722;13MP;00;Basissch de Viermaster;3351GZ;PAPENDRECHT; 590;Papendrecht;Zuid-Holland;Bo;Openbaar;41560;51;1;0; ;51;69,7058823529412;0;
20160415;20160722;13MR;00;RK Basisschool De Buut;2728AG;ZOETERMEER; 637;Zoetermeer;Zuid-Holland;Bo;Rooms-Katholiek;40377;28;0;0; ;28;73,3214285714286;0;
20160415;20160722;13MS;00;Dr Rijk Kramer;1052EC;AMSTERDAM; 363;Amsterdam;Noord-Holland;Bo;Protestants-Christelijk;81316;59;0;58;539,120689655172;0; ;0;
20160415;20160722;13MS;01;De Vlinderboom;1053RM;AMSTERDAM; 363;Amsterdam;Noord-Holland;Bo;Protestants-Christelijk;81316;21;0;21;534,619047619048;0; ;0;
20160415;20160722;13MT;00;RK Basissch De Vlonder;5403LV;UDEN; 856;Uden;Noord-Brabant;Bo;Rooms-Katholiek;32177;25;0;25;539,68;0; ;0;
20160415;20160722;13MV;00;De Morgenster;8042HM;ZWOLLE; 193;Zwolle;Overijssel;Bo;Protestants-Christelijk;40934;33;3;30;532,933333333333;0; ;0;
20160415;20160722;13MW;00;'t Palet;6605HK;WIJCHEN; 296;Wijchen;Gelderland;Bo;Rooms-Katholiek;38001;39;0;39;529,871794871795;0; ;0;
20160415;20160722;13MX;00;Basisschool de Heycant;5481CP;SCHIJNDEL; 844;Schijndel;Noord-Brabant;Bo;Rooms-Katholiek;40874;70;0;0; ;0; ;70;208,5
20160415;20160722;13MY;00;PC Bs de Horizon;2903TJ;CAPELLE AAN DEN IJSSEL; 502;Capelle aan den IJssel;Zuid-Holland;Bo;Protestants-Christelijk;43227;37;0;37;537,351351351351;0; ;0;
20160415;20160722;13MZ;00;Klaverblad;1102MX;AMSTERDAM; 363;Amsterdam;Noord-Holland;Bo;Samenwerking PC, RK;43864;23;3;20;526,8;0; ;0;
20160415;20160722;13NA;00;Prinses Margrietschool;3078WR;ROTTERDAM; 599;Rotterdam;Zuid-Holland;Bo;Protestants-Christelijk;47595;28;0;28;536,285714285714;0; ;0;
20160415;20160722;13NB;00;Basissch Pater vd Geld;5144GJ;WAALWIJK; 867;Waalwijk;Noord-Brabant;Bo;Rooms-Katholiek;71008;45;2;43;531,790697674419;0; ;0;
20160415;20160722;13NC;00;Ireneschool v Chr Bso;6707GW;WAGENINGEN; 289;Wageningen;Gelderland;Bo;Protestants-Christelijk;41460;13;1;12;528,833333333333;0; ;0;
20160415;20160722;13NG;00;Chr Bs de Hoeksteen;9101HE;DOKKUM;  58;Dongeradeel;Friesland;Bo;Protestants-Christelijk;40788;18;1;0; ;17;83,6470588235294;0;
20160415;20160722;13NH;00;Basisschool de Regenboog;1356GA;ALMERE;  34;Almere;Flevoland;Bo;Protestants-Christelijk;40114;42;0;40;532,2;0; ;0;
20160415;20160722;13NI;00;Prinses Beatrixschool;3905DR;VEENENDAAL; 345;Veenendaal;Utrecht;Bo;Protestants-Christelijk;70085;22;1;21;532,571428571429;0; ;0;
20160415;20160722;13NP;00;Beatrixschool;7461VW;RIJSSEN;1742;Rijssen-Holten;Overijssel;Bo;Protestants-Christelijk;77196;33;0;0; ;0; ;33;219,181818181818
20160415;20160722;13NU;00;De Goede Herder;1333EC;ALMERE;  34;Almere;Flevoland;Bo;Rooms-Katholiek;40950;28;0;28;526,321428571429;0; ;0;
20160415;20160722;13NV;00;PC Basissch de Schakel;2231ZD;RIJNSBURG; 537;Katwijk;Zuid-Holland;Bo;Protestants-Christelijk;80095;26;0;26;537;0; ;0;
20160415;20160722;13NX;00;Dr. J. Woltjerschool;3025BH;ROTTERDAM; 599;Rotterdam;Zuid-Holland;Bo;Protestants-Christelijk;74531;43;3;40;533,5;0; ;0;
20160415;20160722;13NZ;00;De Oude Vaart;4537XH;TERNEUZEN; 715;Terneuzen;Zeeland;Bo;Protestants-Christelijk;41241;37;7;30;535,866666666667;0; ;0;
20160415;20160722;13OA;00;Basisschool Pr Beatrix;3794MJ;DE GLIND; 203;Barneveld;Gelderland;Bo;Protestants-Christelijk;83579;10;0;10;536,3;0; ;0;
20160415;20160722;13OD;00;Obs De Stelling;8423TG;MAKKINGA;  85;Ooststellingwerf;Friesland;Bo;Openbaar;41631;13;0;0; ;13;82,9230769230769;0;
20160415;20160722;13OE;00;OBS Driespan;9617BN;HARKSTEDE;  40;Slochteren;Groningen;Bo;Openbaar;41779;38;0;37;534,918918918919;0; ;0;
20160415;20160722;13OF;00;Basisschool B;8331KG;STEENWIJK;1708;Steenwijkerland;Overijssel;Bo;Openbaar;41816;26;0;26;530,346153846154;0; ;0;
20160415;20160722;13OJ;00;Basisschool de Tandem;3332CS;ZWIJNDRECHT; 642;Zwijndrecht;Zuid-Holland;Bo;Openbaar;42709;24;0;0; ;24;66,8333333333333;0;
20160415;20160722;13OK;00;Obs Markenburg;3211AV;GEERVLIET;1930;Nissewaard;Zuid-Holland;Bo;Openbaar;41570;12;0;12;535,916666666667;0; ;0;
20160415;20160722;13ON;00;Obs Leemvoortschool;7054CJ;WESTENDORP;1509;Oude IJsselstreek;Gelderland;Bo;Openbaar;41501;13;2;11;533,272727272727;0; ;0;
20160415;20160722;13OS;00;Obs de Kloetingse School;4481BK;KLOETINGE; 664;Goes;Zeeland;Bo;Openbaar;41670;24;0;24;532,708333333333;0; ;0;
20160415;20160722;13OT;00;Basisschool de Flambou;8401AA;GORREDIJK;  86;Opsterland;Friesland;Bo;Openbaar;41806;10;0;0; ;0; ;10;216,4
20160415;20160722;13OW;00;IC BS Statenkwartier;2582VB;'S-GRAVENHAGE; 518;'s-Gravenhage;Zuid-Holland;Bo;Rooms-Katholiek;20281;30;0;30;540,666666666667;0; ;0;
