WPO (BAO);Peildatum:;1-10-2016;Bijgewerkt tot:;15-10-2016;;;Actieve inschrijvingen;;;;;;;waarvan bekostigd;;;;;;;waarvan niet bekostigd;;;;;;
BRIN_NUMMER;VESTIGINGSNUMMER;NAAM_INSTELLING;GEMEENTENAAM;PROVINCIE;SWV;BEVOEGD_GEZAG_NUMMER;TOTAAL;TOTAAL_JONGER_8;TOTAAL_8_EO;TOTAAL_GEW00;TOTAAL_GEW03;TOTAAL_GEW12;TOTAAL_NOAT;TOTAAL_BEKOSTIGD;BEK_JONGER_8;BEK_8_EO;BEK_GEW00;BEK_GEW03;BEK_GEW12;BEK_NOAT;TOTAAL_NIET_BEKOSTIGD;NIETBEK_JONGER_8;NIETBEK_8_EO;NIETBEK_GEW00;NIETBEK_GEW03;NIETBEK_GEW12;NIETBEK_NOAT
16HI;0;OBS Emmermeer;EMMEN;Drenthe;PO2202;10249;76;32;44;62;11;3;18;76;32;44;62;11;3;18;0;0;0;0;0;0;0
16HJ;0;OBS Oud Oost;LEEUWARDEN;Friesland;PO2101;41850;150;72;78;143;4;3;6;150;72;78;143;4;3;6;0;0;0;0;0;0;0
16HK;0;OBS De Ranonkel;PURMEREND;Noord-Holland;PO2706;42558;223;100;123;210;13;0;3;223;100;123;210;13;0;3;0;0;0;0;0;0;0
16HL;0;De Albatros;LELYSTAD;Flevoland;PO2403;42552;225;115;110;165;42;18;5;225;115;110;165;42;18;5;0;0;0;0;0;0;0
16HM;0;Yn en Mande;SMALLINGERLAND;Friesland;PO2101;41735;98;45;53;97;1;0;2;98;45;53;97;1;0;2;0;0;0;0;0;0;0
16HN;0;BS De Tjalk;ZOETERMEER;Zuid-Holland;PO2817;41390;391;237;154;387;4;0;7;391;237;154;387;4;0;7;0;0;0;0;0;0;0
16HS;0;OBS De Zonnewyzer;HAARLEM;Noord-Holland;PO2704;41853;512;269;243;501;8;3;5;511;268;243;500;8;3;5;1;1;0;1;0;0;0
16HT;0;OBS De Bieshaar;AMERSFOORT;Utrecht;PO2602;41514;519;225;294;502;2;15;117;519;225;294;502;2;15;117;0;0;0;0;0;0;0
16HU;0;OBS De Zes Wielen;ALKMAAR;Noord-Holland;PO2703;42514;451;257;194;432;14;5;74;451;257;194;432;14;5;74;0;0;0;0;0;0;0
16HV;0;J Verneschool;HOORN;Noord-Holland;PO2702;41772;312;144;168;226;26;60;195;312;144;168;226;26;60;195;0;0;0;0;0;0;0
16IA;0;RK Basissch Eloy;APELDOORN;Gelderland;PO2505;76806;264;161;103;255;5;4;13;264;161;103;255;5;4;13;0;0;0;0;0;0;0
16IB;0;RK BS De Berkenhof;OOSTERHOUT;Noord-Brabant;PO3003;40278;76;30;46;56;9;11;3;76;30;46;56;9;11;3;0;0;0;0;0;0;0
16IC;0;RK BS Don Bosco;HAARLEM;Noord-Holland;PO2704;83163;372;145;227;261;31;80;310;367;144;223;259;31;77;305;5;1;4;2;0;3;5
16IE;0;OBS De Piramide;HENGELO;Overijssel;PO2302;41814;397;188;209;377;11;9;29;396;187;209;376;11;9;29;1;1;0;1;0;0;0
16IJ;0;OBS Rietendakschool;UTRECHT;Utrecht;PO2601;41400;227;163;64;198;16;13;59;226;163;63;198;16;12;59;1;0;1;0;0;1;0
16IK;0;OBS De Zevensprong;HAARLEMMERMEER;Noord-Holland;PO2710;13622;159;74;85;115;29;15;18;159;74;85;115;29;15;18;0;0;0;0;0;0;0
16IL;0;Jozefschool;ROTTERDAM;Zuid-Holland;PO2803;24597;234;111;123;219;10;5;20;234;111;123;219;10;5;20;0;0;0;0;0;0;0
16IP;0;Basissch De Satelliet;AMSTERDAM;Noord-Holland;PO2707;41023;392;200;192;330;45;17;111;392;200;192;330;45;17;111;0;0;0;0;0;0;0
16IQ;0;RK BS De Wegwijzer;ALKMAAR;Noord-Holland;PO2703;60997;180;99;81;115;15;50;165;176;99;77;114;15;47;161;4;0;4;1;0;3;4
16IR;0;Bs De Hofvijver;ZOETERMEER;Zuid-Holland;PO2817;40377;302;147;155;286;6;10;53;301;147;154;285;6;10;53;1;0;1;1;0;0;0
16IT;0;Uniasch;LEEUWARDEN;Friesland;PO2101;41850;71;25;46;67;4;0;0;71;25;46;67;4;0;0;0;0;0;0;0;0;0
16IV;0;De Meander;LELYSTAD;Flevoland;PO2403;42552;384;188;196;356;9;19;41;384;188;196;356;9;19;41;0;0;0;0;0;0;0
16JB;0;OBS De Zuidwester;HAARLEM;Noord-Holland;PO2704;41853;420;232;188;406;5;9;11;418;230;188;404;5;9;11;2;2;0;2;0;0;0
16JC;0;De Klimop;ROTTERDAM;Zuid-Holland;PO2806;41775;169;81;88;85;21;63;126;169;81;88;85;21;63;126;0;0;0;0;0;0;0
16JC;1;De Klimop;ROTTERDAM;Zuid-Holland;PO2806;41775;71;27;44;40;7;24;58;71;27;44;40;7;24;58;0;0;0;0;0;0;0
16JI;0;It Ambyld;SMALLINGERLAND;Friesland;PO2101;40342;190;108;82;164;22;4;0;190;108;82;164;22;4;0;0;0;0;0;0;0;0
16JK;0;cbs De Saenparel;ZAANSTAD;Noord-Holland;PO2705;41251;80;36;44;54;18;8;18;80;36;44;54;18;8;18;0;0;0;0;0;0;0
16JP;0;Basissch Jules Verne;UTRECHT;Utrecht;PO2601;41400;188;96;92;150;19;19;71;187;96;91;149;19;19;71;1;0;1;1;0;0;0
16JQ;0;De Waterwolf;HAARLEMMERMEER;Noord-Holland;PO2710;13622;109;43;66;104;5;0;16;109;43;66;104;5;0;16;0;0;0;0;0;0;0
16JU;0;RK Basissch De Waaier;AMSTERDAM;Noord-Holland;PO2707;41023;169;70;99;107;11;51;125;169;70;99;107;11;51;125;0;0;0;0;0;0;0
16JV;0;RK Basissch 't Baeken;ALKMAAR;Noord-Holland;PO2703;60997;362;181;181;342;12;8;4;362;181;181;342;12;8;4;0;0;0;0;0;0;0
16JW;0;Prinses Margrietschool;ZOETERMEER;Zuid-Holland;PO2817;40377;235;121;114;231;2;2;13;235;121;114;231;2;2;13;0;0;0;0;0;0;0
16JY;0;Wiardasch;LEEUWARDEN;Friesland;PO2101;41850;427;251;176;426;0;1;0;427;251;176;426;0;1;0;0;0;0;0;0;0;0
16KA;0;De Grundel;LELYSTAD;Flevoland;PO2403;42552;147;72;75;123;12;12;4;147;72;75;123;12;12;4;0;0;0;0;0;0;0
16KB;0;Seghwaert;ZOETERMEER;Zuid-Holland;PO2817;41390;412;215;197;385;19;8;45;412;215;197;385;19;8;45;0;0;0;0;0;0;0
16KE;0;obs De Werkschuit;ZWOLLE;Overijssel;PO2305;42623;278;145;133;261;6;11;33;278;145;133;261;6;11;33;0;0;0;0;0;0;0
16KG;0;OBS M L King;HAARLEM;Noord-Holland;PO2704;41853;218;116;102;166;21;31;116;218;116;102;166;21;31;116;0;0;0;0;0;0;0
16KJ;0;OBS De Vlieger;ALKMAAR;Noord-Holland;PO2703;42514;275;149;126;257;11;7;65;275;149;126;257;11;7;65;0;0;0;0;0;0;0
16KK;0;BS De Polderhof;ALMERE;Flevoland;PO2401;41676;279;147;132;244;8;27;112;279;147;132;244;8;27;112;0;0;0;0;0;0;0
16KL;0;De Zonnewyzer;HOORN;Noord-Holland;PO2702;41772;290;153;137;253;28;9;60;290;153;137;253;28;9;60;0;0;0;0;0;0;0
16KN;0;BS De Timp;HENGELO;Overijssel;PO2302;41814;131;50;81;126;0;5;4;131;50;81;126;0;5;4;0;0;0;0;0;0;0
16KR;0;De Zwanebloem;HAARLEMMERMEER;Noord-Holland;PO2710;13622;189;85;104;180;6;3;5;189;85;104;180;6;3;5;0;0;0;0;0;0;0
16KS;0;Don Bosco school;ALBRANDSWAARD;Zuid-Holland;PO2805;24597;659;347;312;656;1;2;56;659;347;312;656;1;2;56;0;0;0;0;0;0;0
16KS;1;Don Bosco school;ROTTERDAM;Zuid-Holland;PO2806;24597;88;47;41;54;18;16;30;84;44;40;51;18;15;29;4;3;1;3;0;1;1
16KV;0;Elisabeth Paulus-School;AMSTERDAM;Noord-Holland;PO2707;41023;142;78;64;127;8;7;71;139;77;62;124;8;7;69;3;1;2;3;0;0;2
16KW;0;RK Basissch De Burijn;ALKMAAR;Noord-Holland;PO2703;60997;248;127;121;240;7;1;6;247;126;121;239;7;1;5;1;1;0;1;0;0;1
16KZ;0;Prof Wassenberghsch;LEEUWARDEN;Friesland;PO2101;41850;161;79;82;159;0;2;0;161;79;82;159;0;2;0;0;0;0;0;0;0;0
16LE;0;obs De Wieden;ZWOLLE;Overijssel;PO2305;42623;119;57;62;98;12;9;22;119;57;62;98;12;9;22;0;0;0;0;0;0;0
16LF;0;OBS De Zuiderpolder;HAARLEM;Noord-Holland;PO2704;41853;203;94;109;153;12;38;99;203;94;109;153;12;38;99;0;0;0;0;0;0;0
16LI;0;De Sterrenwachter;ALKMAAR;Noord-Holland;PO2703;42514;160;84;76;147;6;7;16;160;84;76;147;6;7;16;0;0;0;0;0;0;0
16LQ;0;Basissch St Franciscus;HAARLEM;Noord-Holland;PO2704;83163;280;146;134;238;26;16;76;280;146;134;238;26;16;76;0;0;0;0;0;0;0
16LV;0;De Achtbaan;HAARLEMMERMEER;Noord-Holland;PO2710;13622;190;106;84;173;11;6;24;190;106;84;173;11;6;24;0;0;0;0;0;0;0
16LX;0;St Catharina-School;AMSTERDAM;Noord-Holland;PO2707;41023;178;86;92;149;11;18;66;178;86;92;149;11;18;66;0;0;0;0;0;0;0
16MA;0;OBS Angelslo;EMMEN;Drenthe;PO2202;10249;327;152;175;211;57;59;160;326;151;175;210;57;59;159;1;1;0;1;0;0;1
16MB;0;OBS Het Palet;LEEUWARDEN;Friesland;PO2101;41850;204;112;92;188;15;1;25;204;112;92;188;15;1;25;0;0;0;0;0;0;0
16MC;0;Daltonbasisschool De AkkerDijk;PURMEREND;Noord-Holland;PO2706;42558;436;239;197;401;29;6;42;436;239;197;401;29;6;42;0;0;0;0;0;0;0
16MD;0;De Driemaster;LELYSTAD;Flevoland;PO2403;42552;259;127;132;235;13;11;22;259;127;132;235;13;11;22;0;0;0;0;0;0;0
16MI;0;obs De Markesteen;ZWOLLE;Overijssel;PO2305;42623;153;89;64;140;7;6;18;153;89;64;140;7;6;18;0;0;0;0;0;0;0
16ML;0;BS Klaverweide;ALMERE;Flevoland;PO2401;41676;218;109;109;194;15;9;45;218;109;109;194;15;9;45;0;0;0;0;0;0;0
16MO;0;RK Basissch Mgr Huibers;HAARLEM;Noord-Holland;PO2704;83163;231;125;106;201;19;11;100;231;125;106;201;19;11;100;0;0;0;0;0;0;0
16MS;0;BS Aldoende;HAARLEMMERMEER;Noord-Holland;PO2710;13622;84;48;36;77;5;2;11;84;48;36;77;5;2;11;0;0;0;0;0;0;0
16MW;0;St Rosa-School;AMSTERDAM;Noord-Holland;PO2707;41023;125;51;74;74;8;43;101;125;51;74;74;8;43;101;0;0;0;0;0;0;0
16MX;0;RK BS Het Kompas;ALKMAAR;Noord-Holland;PO2703;60997;602;281;321;583;11;8;86;602;281;321;583;11;8;86;0;0;0;0;0;0;0
16NB;0;De Tjotter;LELYSTAD;Flevoland;PO2403;42552;469;238;231;455;12;2;13;469;238;231;455;12;2;13;0;0;0;0;0;0;0
16NC;0;Obs Molenbeek;ENSCHEDE;Overijssel;PO2302;41565;235;128;107;230;5;0;0;235;128;107;230;5;0;0;0;0;0;0;0;0;0
16ND;0;OBS De Baanbreker;ZOETERMEER;Zuid-Holland;PO2817;41390;322;201;121;311;10;1;37;322;201;121;311;10;1;37;0;0;0;0;0;0;0
16NG;0;O.B.S. De Piramide;HAARLEM;Noord-Holland;PO2704;41853;357;176;181;158;3;196;298;357;176;181;158;3;196;298;0;0;0;0;0;0;0
16NG;1;O.B.S. De Piramide;HAARLEM;Noord-Holland;PO2704;41853;173;83;90;100;10;63;151;173;83;90;100;10;63;151;0;0;0;0;0;0;0
16NM;0;OBS Overvecht;UTRECHT;Utrecht;PO2601;41400;651;322;329;365;59;227;592;650;321;329;365;59;226;591;1;1;0;0;0;1;1
16NN;0;BS De Bosrank;HAARLEMMERMEER;Noord-Holland;PO2710;13622;110;46;64;60;26;24;53;110;46;64;60;26;24;53;0;0;0;0;0;0;0
16NR;0;De Hasselbraam;EMMEN;Drenthe;PO2202;10249;258;137;121;231;13;14;56;258;137;121;231;13;14;56;0;0;0;0;0;0;0
16NS;0;obs Eestroom Brandemeer;LEEUWARDEN;Friesland;PO2101;41850;213;97;116;134;25;54;26;211;96;115;132;25;54;26;2;1;1;2;0;0;0
16NU;0;De Finnjol;LELYSTAD;Flevoland;PO2403;42552;131;83;48;109;10;12;25;131;83;48;109;10;12;25;0;0;0;0;0;0;0
16NV;0;OPB De Bothoven;ENSCHEDE;Overijssel;PO2302;41565;154;77;77;125;17;12;16;154;77;77;125;17;12;16;0;0;0;0;0;0;0
16OC;0;OBS De Flierefluiter;ALMERE;Flevoland;PO2401;41676;398;202;196;382;15;1;43;398;202;196;382;15;1;43;0;0;0;0;0;0;0
16UA;0;OBS De Iemenkorf;EMMEN;Drenthe;PO2202;10249;171;93;78;148;14;9;30;171;93;78;148;14;9;30;0;0;0;0;0;0;0
16UB;0;OBS De Vosseburcht;LEEUWARDEN;Friesland;PO2101;41850;245;141;104;244;0;1;0;245;141;104;244;0;1;0;0;0;0;0;0;0;0
16UC;0;OBS De Boemerang;PURMEREND;Noord-Holland;PO2706;42558;156;69;87;133;18;5;30;156;69;87;133;18;5;30;0;0;0;0;0;0;0
16UD;0;De Triangel;LELYSTAD;Flevoland;PO2403;42552;123;60;63;102;12;9;13;123;60;63;102;12;9;13;0;0;0;0;0;0;0
16UE;0;OBS Het Stadsveld;ENSCHEDE;Overijssel;PO2302;41565;226;122;104;162;34;30;37;222;118;104;158;34;30;37;4;4;0;4;0;0;0
16UG;0;De Pendinghe;GRONINGEN;Groningen;PO2001;42510;221;105;116;153;32;36;131;220;105;115;152;32;36;130;1;0;1;1;0;0;1
16UJ;0;Obs Zandloper;ALKMAAR;Noord-Holland;PO2703;42514;301;156;145;288;2;11;53;301;156;145;288;2;11;53;0;0;0;0;0;0;0
16UK;0;OBS De Wierwinde;ALMERE;Flevoland;PO2401;41676;190;92;98;150;12;28;60;189;91;98;149;12;28;59;1;1;0;1;0;0;1
16UM;0;BS Tijl Uilenspiegel;DEURNE;Noord-Brabant;PO3008;41223;220;109;111;210;5;5;10;220;109;111;210;5;5;10;0;0;0;0;0;0;0
16UN;0;Basisschool 't Spoor;MAASTRICHT;Limburg;PO3105;41373;154;78;76;112;22;20;45;154;78;76;112;22;20;45;0;0;0;0;0;0;0
16UO;0;Basisschool De Kameleon;UTRECHT;Utrecht;PO2601;77195;300;163;137;220;12;68;122;300;163;137;220;12;68;122;0;0;0;0;0;0;0
16UP;0;Basisschool De Bogaard;OSS;Noord-Brabant;PO3006;48348;207;104;103;204;2;1;2;204;102;102;202;1;1;2;3;2;1;2;1;0;0
16UQ;0;Basisschool Op Dreef;SLUIS;Zeeland;PO2903;37299;113;54;59;105;4;4;6;113;54;59;105;4;4;6;0;0;0;0;0;0;0
16US;0;cbs De Klaver;LOPPERSUM;Groningen;PO2001;41558;35;18;17;33;2;0;0;35;18;17;33;2;0;0;0;0;0;0;0;0;0
16UU;0;Brede School D n Bogerd;DEURNE;Noord-Brabant;PO3008;41223;286;146;140;274;9;3;9;286;146;140;274;9;3;9;0;0;0;0;0;0;0
16UV;0;RK Basissch Langeberg;BRUNSSUM;Limburg;PO3106;41516;256;128;128;230;16;10;19;256;128;128;230;16;10;19;0;0;0;0;0;0;0
16UW;0;Pnielschool;ROTTERDAM;Zuid-Holland;PO2806;47595;289;146;143;186;41;62;133;289;146;143;186;41;62;133;0;0;0;0;0;0;0
16UZ;0;Sint Maarten Basissch;SUDWEST-FRYSLAN;Friesland;PO2101;41000;461;231;230;426;22;13;8;461;231;230;426;22;13;8;0;0;0;0;0;0;0
16VH;0;Gooilandschool;GOOISE MEREN;Noord-Holland;PO2709;34230;420;209;211;420;0;0;0;420;209;211;420;0;0;0;0;0;0;0;0;0;0
16VR;0;BS St Willibrordus;HILVARENBEEK;Noord-Brabant;PO3004;40941;279;125;154;276;3;0;1;279;125;154;276;3;0;1;0;0;0;0;0;0;0
16VT;0;BS H Hart V Jezus;DALFSEN;Overijssel;PO2304;40888;197;91;106;185;8;4;2;197;91;106;185;8;4;2;0;0;0;0;0;0;0
16VU;0;Basissch Anne Frank;MAASTRICHT;Limburg;PO3105;41373;197;104;93;184;8;5;18;197;104;93;184;8;5;18;0;0;0;0;0;0;0
16VV;0;St Jozef School;LEUSDEN;Utrecht;PO2602;65768;148;58;90;135;10;3;0;148;58;90;135;10;3;0;0;0;0;0;0;0;0
16WB;0;Basisschool Reuzepas;SITTARD-GELEEN;Limburg;PO3104;40987;202;97;105;170;13;19;77;201;97;104;170;13;18;77;1;0;1;0;0;1;0
16WG;0;Oranje Nassauschool;DORDRECHT;Zuid-Holland;PO2810;83864;230;117;113;186;38;6;39;230;117;113;186;38;6;39;0;0;0;0;0;0;0
16WH;0;De Eshof;S GRAVENHAGE;Zuid-Holland;PO2815;70176;159;82;77;121;32;6;42;159;82;77;121;32;6;42;0;0;0;0;0;0;0
16WI;0;PCBS De Parel;ELBURG;Gelderland;PO2509;42596;299;153;146;256;33;10;0;298;152;146;255;33;10;0;1;1;0;1;0;0;0
16WL;0;Kennedy Basisschool;TWENTERAND;Overijssel;PO2301;99594;103;43;60;62;32;9;9;103;43;60;62;32;9;9;0;0;0;0;0;0;0
16WN;0;OBS op 't Veld;EMMEN;Drenthe;PO2202;10249;57;24;33;53;4;0;2;57;24;33;53;4;0;2;0;0;0;0;0;0;0
16WP;0;Het Spectrum;LELYSTAD;Flevoland;PO2403;42552;48;26;22;39;5;4;3;48;26;22;39;5;4;3;0;0;0;0;0;0;0
16WQ;0;OBS Roombeek;ENSCHEDE;Overijssel;PO2302;41565;202;94;108;142;36;24;88;202;94;108;142;36;24;88;0;0;0;0;0;0;0
16WT;0;De Molenwiek Dalton;HAARLEM;Noord-Holland;PO2704;41853;478;265;213;441;21;16;156;478;265;213;441;21;16;156;0;0;0;0;0;0;0
16WT;1;De Molenwiek Dalton;HAARLEM;Noord-Holland;PO2704;41853;172;77;95;135;19;18;50;171;76;95;134;19;18;50;1;1;0;1;0;0;0
16WU;0;OBS De Kennemerpoort;ALKMAAR;Noord-Holland;PO2703;42514;671;364;307;657;11;3;60;671;364;307;657;11;3;60;0;0;0;0;0;0;0
16WW;0;OBS KlimOp;HOORN;Noord-Holland;PO2702;41772;99;68;31;79;11;9;28;98;68;30;78;11;9;28;1;0;1;1;0;0;0
16WZ;0;Chr Basissch De Akker;ROTTERDAM;Zuid-Holland;PO2806;47595;452;257;195;278;57;117;361;451;256;195;277;57;117;360;1;1;0;1;0;0;1
16XC;0;RK Basissch Veronica;HAARLEM;Noord-Holland;PO2704;83163;231;124;107;222;4;5;18;231;124;107;222;4;5;18;0;0;0;0;0;0;0
16XK;0;RK BS Baardwijk;WAALWIJK;Noord-Brabant;PO3010;71008;233;112;121;185;12;36;55;233;112;121;185;12;36;55;0;0;0;0;0;0;0
16XM;0;Julianaschool;DORDRECHT;Zuid-Holland;PO2810;83864;309;158;151;305;3;1;12;309;158;151;305;3;1;12;0;0;0;0;0;0;0
16XN;0;Prof Mr A Anema Basissch;S GRAVENHAGE;Zuid-Holland;PO2815;70176;399;222;177;294;28;77;273;399;222;177;294;28;77;273;0;0;0;0;0;0;0
16XP;0;Oranjeschool;TWENTERAND;Overijssel;PO2301;99594;256;138;118;238;16;2;6;256;138;118;238;16;2;6;0;0;0;0;0;0;0
16XQ;0;OBS De Brink;EMMEN;Drenthe;PO2202;10249;283;146;137;124;34;125;216;281;145;136;123;33;125;214;2;1;1;1;1;0;2
16XS;0;De Tjalk;LELYSTAD;Flevoland;PO2403;42552;300;148;152;276;13;11;4;300;148;152;276;13;11;4;0;0;0;0;0;0;0
16XT;0;OBS Glanerbrug-Noord;ENSCHEDE;Overijssel;PO2302;41565;119;63;56;98;19;2;7;119;63;56;98;19;2;7;0;0;0;0;0;0;0
16XY;0;Obs Nicolaas Beets;ALKMAAR;Noord-Holland;PO2703;42514;404;213;191;401;1;2;24;404;213;191;401;1;2;24;0;0;0;0;0;0;0
16XY;3;Obs Nicolaas Beets;ALKMAAR;Noord-Holland;PO2703;42514;68;38;30;53;2;13;43;68;38;30;53;2;13;43;0;0;0;0;0;0;0
16YA;0;Het Ooievaarsnest;HOORN;Noord-Holland;PO2702;41772;488;308;180;474;7;7;49;488;308;180;474;7;7;49;0;0;0;0;0;0;0
16YB;0;Chr Basissch De Sleutel;ROTTERDAM;Zuid-Holland;PO2806;47595;221;97;124;143;21;57;126;219;96;123;141;21;57;125;2;1;1;2;0;0;1
16YE;0;icbs. Wormer Wieken;WORMERLAND;Noord-Holland;PO2705;41251;192;78;114;182;8;2;8;192;78;114;182;8;2;8;0;0;0;0;0;0;0
16YF;0;RK BS De Egelantier;NOORDWIJKERHOUT;Zuid-Holland;PO2812;40967;155;70;85;145;8;2;7;154;69;85;144;8;2;7;1;1;0;1;0;0;0
16YG;0;Beatrixschool;DORDRECHT;Zuid-Holland;PO2810;83864;333;168;165;332;0;1;1;333;168;165;332;0;1;1;0;0;0;0;0;0;0
16YJ;0;Basisschool De Linde;TWENTERAND;Overijssel;PO2301;99594;66;39;27;41;20;5;0;66;39;27;41;20;5;0;0;0;0;0;0;0;0
16YK;0;OBS De Barg;EMMEN;Drenthe;PO2202;10249;87;43;44;64;18;5;22;87;43;44;64;18;5;22;0;0;0;0;0;0;0
16YM;0;De Brink;LELYSTAD;Flevoland;PO2403;42552;116;65;51;95;5;16;39;116;65;51;95;5;16;39;0;0;0;0;0;0;0
16YQ;0;OBS De Spaarne-School;HAARLEM;Noord-Holland;PO2704;41853;136;60;76;136;0;0;4;136;60;76;136;0;0;4;0;0;0;0;0;0;0
16YS;0;Samenspel;ALMERE;Flevoland;PO2401;41676;140;63;77;95;14;31;56;139;63;76;95;14;30;55;1;0;1;0;0;1;1
16YS;1;Samenspel;ALMERE;Flevoland;PO2401;41676;131;65;66;93;18;20;60;131;65;66;93;18;20;60;0;0;0;0;0;0;0
16YT;0;BS De Bussel;HOORN;Noord-Holland;PO2702;41772;132;51;81;122;9;1;14;132;51;81;122;9;1;14;0;0;0;0;0;0;0
16YU;0;Chr BS Willem van Oranje;ROTTERDAM;Zuid-Holland;PO2806;47595;217;112;105;164;22;31;123;215;110;105;162;22;31;122;2;2;0;2;0;0;1
16YW;0;Basissch De Vliedberg;ROTTERDAM;Zuid-Holland;PO2806;24597;274;146;128;203;54;17;67;274;146;128;203;54;17;67;0;0;0;0;0;0;0
16YX;0;RK Basissch Prinsenhof;NOORDWIJKERHOUT;Zuid-Holland;PO2812;40967;455;238;217;449;5;1;8;455;238;217;449;5;1;8;0;0;0;0;0;0;0
16YZ;0;Basisschool Nieuwoord;TWENTERAND;Overijssel;PO2301;99594;251;119;132;208;37;6;3;251;119;132;208;37;6;3;0;0;0;0;0;0;0
16ZB;0;OBS De Wielen;LEEUWARDEN;Friesland;PO2101;41850;334;175;159;330;2;2;2;332;174;158;328;2;2;2;2;1;1;2;0;0;0
16ZC;0;De Poolster;LELYSTAD;Flevoland;PO2403;42552;177;87;90;108;12;57;116;175;86;89;107;12;56;114;2;1;1;1;0;1;2
16ZD;0;OBS Europa;ENSCHEDE;Overijssel;PO2302;41565;120;62;58;72;10;38;42;120;62;58;72;10;38;42;0;0;0;0;0;0;0
16ZF;0;OBS De Peppelaer;HAARLEM;Noord-Holland;PO2704;41853;361;201;160;354;6;1;25;361;201;160;354;6;1;25;0;0;0;0;0;0;0
16ZG;0;OBS De Achtbaan;ALMERE;Flevoland;PO2401;41676;147;75;72;134;9;4;57;146;75;71;133;9;4;57;1;0;1;1;0;0;0
16ZJ;0;RK.Bs.OLV van Fatima;ROOSENDAAL;Noord-Brabant;PO3002;74154;298;165;133;257;18;23;81;298;165;133;257;18;23;81;0;0;0;0;0;0;0
16ZM;0;RK BS De Schakel;ROTTERDAM;Zuid-Holland;PO2806;24597;137;80;57;118;12;7;27;137;80;57;118;12;7;27;0;0;0;0;0;0;0
16ZO;0;RK Basissch St Victor;NOORDWIJKERHOUT;Zuid-Holland;PO2812;40967;368;182;186;337;9;22;45;367;182;185;336;9;22;45;1;0;1;1;0;0;0
16ZP;0;Ds W E Den Hertog School;S GRAVENHAGE;Zuid-Holland;PO2815;70176;285;154;131;250;29;6;22;285;154;131;250;29;6;22;0;0;0;0;0;0;0
16ZQ;0;OBS De Meent;EMMEN;Drenthe;PO2202;10249;95;53;42;78;16;1;5;95;53;42;78;16;1;5;0;0;0;0;0;0;0
16ZS;0;De Sluis;LELYSTAD;Flevoland;PO2403;42552;220;108;112;208;9;3;16;220;108;112;208;9;3;16;0;0;0;0;0;0;0
16ZT;0;OBS Het Lang;ENSCHEDE;Overijssel;PO2302;41565;166;73;93;100;28;38;96;166;73;93;100;28;38;96;0;0;0;0;0;0;0
16ZX;0;OBS De Kameleon;ALMERE;Flevoland;PO2401;41676;100;51;49;76;10;14;60;100;51;49;76;10;14;60;0;0;0;0;0;0;0
16ZY;0;Openb Montessorischool;HOORN;Noord-Holland;PO2702;41772;88;47;41;63;19;6;23;88;47;41;63;19;6;23;0;0;0;0;0;0;0
16ZY;1;Openb Montessorischool;HOORN;Noord-Holland;PO2702;41772;261;128;133;246;13;2;24;261;128;133;246;13;2;24;0;0;0;0;0;0;0
16ZZ;0;RK BS Joseph;ROOSENDAAL;Noord-Brabant;PO3002;74154;157;86;71;132;11;14;35;157;86;71;132;11;14;35;0;0;0;0;0;0;0
17AB;0;RK BS Mr van Eijck;ROTTERDAM;Zuid-Holland;PO2806;24597;336;185;151;271;24;41;105;336;185;151;271;24;41;105;0;0;0;0;0;0;0
17AC;0;Lidwina-School;AMSTERDAM;Noord-Holland;PO2707;41023;561;295;266;545;5;11;123;560;294;266;544;5;11;122;1;1;0;1;0;0;1
17AE;0;De Bente OBS;EMMEN;Drenthe;PO2202;10249;112;63;49;104;6;2;2;112;63;49;104;6;2;2;0;0;0;0;0;0;0
17AH;0;OBS De Sterrensteen;GRONINGEN;Groningen;PO2001;42510;307;143;164;238;30;39;46;306;143;163;237;30;39;46;1;0;1;1;0;0;0
17AM;0;RK Bs De Cortendijck;ROOSENDAAL;Noord-Brabant;PO3002;74154;60;24;36;41;10;9;27;60;24;36;41;10;9;27;0;0;0;0;0;0;0
17AP;0;Agnessch v Kath BSO;ROTTERDAM;Zuid-Holland;PO2806;24597;295;154;141;152;34;109;187;293;153;140;151;34;108;185;2;1;1;1;0;1;2
17AV;0;BS De Argonaut;ALMERE;Flevoland;PO2401;41676;209;106;103;185;16;8;66;209;106;103;185;16;8;66;0;0;0;0;0;0;0
17BB;0;BS Huibers;AMSTERDAM;Noord-Holland;PO2707;41023;176;85;91;128;15;33;126;176;85;91;128;15;33;126;0;0;0;0;0;0;0
17BC;0;OBS De Runde;EMMEN;Drenthe;PO2202;10249;121;66;55;107;11;3;2;121;66;55;107;11;3;2;0;0;0;0;0;0;0
17BH;0;Basisschool De Blokwei;ROOSENDAAL;Noord-Brabant;PO3002;74154;143;73;70;124;13;6;28;143;73;70;124;13;6;28;0;0;0;0;0;0;0
17BL;0;OBS De Dreef;EMMEN;Drenthe;PO2202;10249;71;29;42;63;8;0;4;71;29;42;63;8;0;4;0;0;0;0;0;0;0
17BP;0;BS De Zeetuin;ALMERE;Flevoland;PO2401;41676;193;75;118;170;14;9;45;192;75;117;169;14;9;45;1;0;1;1;0;0;0
17BT;0;OBS Tuindorp;UTRECHT;Utrecht;PO2601;41400;363;204;159;362;0;1;20;363;204;159;362;0;1;20;0;0;0;0;0;0;0
