PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;CLUSTER;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20161001;00KM;56;Het Penta College;7573CW;OLDENZAAL; 173;Oldenzaal;Overijssel;Vso;3/4;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;5;7;6;0;0;0;0;0;0;0;0;0;0;0;18
20161001;00KU;00;SBO de Windroos;6545LX;NIJMEGEN; 268;Nijmegen;Gelderland;Sbo;nvt;Protestants-Christelijk;29810;0;0;0;6;8;13;21;16;32;15;0;0;0;0;0;0;0;0;0;0;0;0;0;111
20161001;00KX;00;Herman Broerenschool;6045GL;ROERMOND; 957;Roermond;Limburg;So;3/4;Rooms-Katholiek;26132;0;0;5;5;6;10;8;10;10;9;1;0;0;0;0;0;0;0;0;0;0;0;0;64
20161001;00KX;00;Herman Broerenschool;6045GL;ROERMOND; 957;Roermond;Limburg;Vso;3/4;Rooms-Katholiek;26132;0;0;0;0;0;0;0;0;0;1;12;16;15;16;16;11;7;2;0;0;0;0;0;96
20161001;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK; 867;Waalwijk;Noord-Brabant;Sbo;nvt;Rooms-Katholiek;71008;0;3;6;6;14;19;23;24;26;30;1;0;0;0;0;0;0;0;0;0;0;0;0;152
20161001;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;  86;Opsterland;Friesland;So;3/4;Algemeen bijzonder;42665;0;6;9;11;16;18;8;19;25;10;0;0;0;0;0;0;0;0;0;0;0;0;0;122
20161001;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;  86;Opsterland;Friesland;Vso;3/4;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;4;12;19;20;16;9;4;0;1;0;0;0;0;0;85
20161001;00LH;00;Prins W Alexanderschool;5504NC;VELDHOVEN; 861;Veldhoven;Noord-Brabant;So;3/4;Rooms-Katholiek;77338;0;2;1;3;6;5;6;14;14;7;3;0;0;0;0;0;0;0;0;0;0;0;0;61
20161001;00LH;00;Prins W Alexanderschool;5504NC;VELDHOVEN; 861;Veldhoven;Noord-Brabant;Vso;3/4;Rooms-Katholiek;77338;0;0;0;0;0;0;0;0;0;5;14;19;19;17;19;9;8;0;0;0;0;0;0;110
20161001;00LS;00;SBO Het Palet;6006AH;WEERT; 988;Weert;Limburg;Sbo;nvt;Rooms-Katholiek;50819;0;0;2;5;7;11;16;25;29;15;0;0;0;0;0;0;0;0;0;0;0;0;0;110
20161001;00MI;00;SSBO De Piramide;5531BX;BLADEL;1728;Bladel;Noord-Brabant;Sbo;nvt;Rooms-Katholiek;44201;0;2;6;10;16;9;22;21;25;12;0;0;0;0;0;0;0;0;0;0;0;0;0;123
20161001;00MN;00;Chr SSBO De Burcht;2983AK;RIDDERKERK; 597;Ridderkerk;Zuid-Holland;Sbo;nvt;Protestants-Christelijk;80433;0;1;4;9;0;19;23;31;27;10;0;0;0;0;0;0;0;0;0;0;0;0;0;124
20161001;00MS;00;SSBO Prof Waterink;7772CX;HARDENBERG; 160;Hardenberg;Overijssel;Sbo;nvt;Protestants-Christelijk;40946;0;1;8;7;15;13;13;26;24;16;0;0;0;0;0;0;0;0;0;0;0;0;0;123
20161001;00MU;00;De Witakker;8572WG;RIJS;1940;De Fryske Marren;Friesland;So;3/4;Algemeen bijzonder;41414;0;0;0;0;1;2;1;6;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;20
20161001;00MU;00;De Witakker;8572WG;RIJS;1940;De Fryske Marren;Friesland;Vso;3/4;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;0;0;5;7;7;8;3;0;0;0;0;0;0;0;0;30
20161001;00MU;07;De Witakker;8608WK;SNEEK;1900;S∑dwest-Frysl‘n;Friesland;So;3/4;Algemeen bijzonder;41414;0;2;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
